our_id,our_name,ds_id,ds_name,ds_equipment,ds_image,ds_gif,ds_target,ds_muscle_group
1,Deadlift (Barbell),0032,barbell deadlift,barbell,images/0032-ila4NZS.jpg,videos/0032-ila4NZS.gif,glutes,hamstrings
2,Back Squat (Barbell),0043,barbell full squat,barbell,images/0043-qXTaZnJ.jpg,videos/0043-qXTaZnJ.gif,glutes,quadriceps
4,Biceps Curl (Dumbbell),0294,dumbbell biceps curl,dumbbell,images/0294-NbVPDMW.jpg,videos/0294-NbVPDMW.gif,biceps,forearms
5,Triceps Pushdown (Cable),0241,cable triceps pushdown (v-bar),cable,images/0241-gAwDzB3.jpg,videos/0241-gAwDzB3.gif,triceps,forearms
7,Bench Press (Barbell),0025,barbell bench press,barbell,images/0025-EIeI8Vf.jpg,videos/0025-EIeI8Vf.gif,pectorals,triceps
8,Split Squat (Barbell),2810,barbell split squat v. 2,barbell,images/2810-HBYyX94.jpg,videos/2810-HBYyX94.gif,quads,glutes
9,Calf Raise (Machine),1383,hack calf raise,sled machine,images/1383-2ORFMoR.jpg,videos/1383-2ORFMoR.gif,calves,hamstrings
10,Decline Bench Press (Barbell),0033,barbell decline bench press,barbell,images/0033-GrO65fd.jpg,videos/0033-GrO65fd.gif,pectorals,triceps
11,Incline Dumbbell Press,3545,dumbbell incline alternate press,dumbbell,images/3545-TVdivgY.jpg,videos/3545-TVdivgY.gif,pectorals,shoulders
12,Seated Cable Row,0861,cable seated row,cable,images/0861-fUBheHs.jpg,videos/0861-fUBheHs.gif,upper back,biceps
13,Triceps Extension (Single Arm),0149,cable alternate triceps extension,cable,images/0149-Gchi5Tr.jpg,videos/0149-Gchi5Tr.gif,triceps,shoulders
14,Machine Shoulder Press,0603,lever shoulder press,leverage machine,images/0603-67n3r98.jpg,videos/0603-67n3r98.gif,delts,triceps
15,Dips (Bodyweight),0251,chest dip,body weight,images/0251-9WTm7dq.jpg,videos/0251-9WTm7dq.gif,pectorals,triceps
16,Abdominal Crunch (Machine),1452,lever seated crunch,leverage machine,images/1452-Wgaz7pm.jpg,videos/1452-Wgaz7pm.gif,abs,obliques
17,Bench Press (Paused),0025,barbell bench press,barbell,images/0025-EIeI8Vf.jpg,videos/0025-EIeI8Vf.gif,pectorals,triceps
18,Seated Leg Curl (Machine),0599,lever seated leg curl,leverage machine,images/0599-Zg3XY7P.jpg,videos/0599-Zg3XY7P.gif,hamstrings,calves
100,Overhead Press (Barbell),1456,barbell standing close grip military press,barbell,images/1456-wdRZISl.jpg,videos/1456-wdRZISl.gif,delts,triceps
101,Pull Up (Bodyweight),0651,pull up (neutral grip),body weight,images/0651-0V2YQjW.jpg,videos/0651-0V2YQjW.gif,lats,biceps
102,Chin Up,1326,chin-up,body weight,images/1326-T2mxWqc.jpg,videos/1326-T2mxWqc.gif,lats,biceps
103,Romanian Deadlift (Barbell),0085,barbell romanian deadlift,barbell,images/0085-wQ2c4XD.jpg,videos/0085-wQ2c4XD.gif,glutes,hamstrings
104,Leg Press,1463,sled 45° leg press (side pov),sled machine,images/1463-2Qh2J1e.jpg,videos/1463-2Qh2J1e.gif,glutes,quadriceps
105,Bulgarian Split Squat (Dumbbell),0410,dumbbell single leg split squat,dumbbell,images/0410-qx4fgX7.jpg,videos/0410-qx4fgX7.gif,quads,glutes
106,Lat Pulldown (Wide Grip),2330,cable lat pulldown full range of motion,cable,images/2330-LEprlgG.jpg,videos/2330-LEprlgG.gif,lats,biceps
107,Dumbbell Row,0293,dumbbell bent over row,dumbbell,images/0293-BJ0Hz5L.jpg,videos/0293-BJ0Hz5L.gif,upper back,biceps
108,Face Pull (Cable),,,,,,,
109,Lateral Raise (Dumbbell),0334,dumbbell lateral raise,dumbbell,images/0334-DsgkuIt.jpg,videos/0334-DsgkuIt.gif,delts,traps
110,Leg Extension (Machine),0585,lever leg extension,leverage machine,images/0585-my33uHU.jpg,videos/0585-my33uHU.gif,quads,hamstrings
111,Hip Thrust (Barbell),,,,,,,
112,Skullcrusher (EZ Bar),1748,ez bar lying close grip triceps extension behind head,ez barbell,images/1748-6CKUx7o.jpg,videos/1748-6CKUx7o.gif,triceps,shoulders
